oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT04_92843,113476054450558830,lec_winter_2025,2025-02-02 19:46:21,2025-02-02T19:15:00Z,Team Heretics,Team Vitality,1
LOLTMNT04_93937,113476054450558910,lec_winter_2025,2025-02-02 20:42:01,2025-02-02T20:00:00Z,G2 Esports,Movistar KOI,1
LOLTMNT04_92941,113476054450558864,lec_winter_2025,2025-02-03 17:05:40,2025-02-03T17:00:00Z,Team Vitality,GiantX,1
LOLTMNT04_92952,113476054450558854,lec_winter_2025,2025-02-03 17:55:39,2025-02-03T17:45:00Z,Movistar KOI,Rogue,1
LOLTMNT04_92975,113476054450558884,lec_winter_2025,2025-02-03 18:46:57,2025-02-03T18:30:00Z,Karmine Corp,Team BDS,1
LOLTMNT04_92989,113476054450558844,lec_winter_2025,2025-02-03 19:36:03,2025-02-03T19:15:00Z,G2 Esports,Team Heretics,1
LOLTMNT04_94054,113476054450558900,lec_winter_2025,2025-02-03 20:28:27,2025-02-03T20:00:00Z,SK Gaming,Fnatic,1
LOLTMNT05_111524,113476054450558918,lec_winter_2025,2025-02-15 17:12:10,2025-02-15T17:00:00Z,Fnatic,Team Heretics,1
LOLTMNT05_112394,113476054450558919,lec_winter_2025,2025-02-15 17:58:23,2025-02-15T17:00:00Z,Team Heretics,Fnatic,2
LOLTMNT05_112400,113476054450558922,lec_winter_2025,2025-02-15 18:57:18,2025-02-15T19:00:00Z,G2 Esports,GiantX,1
LOLTMNT05_112410,113476054450558923,lec_winter_2025,2025-02-15 19:58:48,2025-02-15T19:00:00Z,GiantX,G2 Esports,2
LOLTMNT05_112512,113476054450558926,lec_winter_2025,2025-02-16 17:07:42,2025-02-16T17:00:00Z,Movistar KOI,Team BDS,1
LOLTMNT05_112514,113476054450558927,lec_winter_2025,2025-02-16 17:59:31,2025-02-16T17:00:00Z,Team BDS,Movistar KOI,2
LOLTMNT05_112521,113476054450558930,lec_winter_2025,2025-02-16 19:07:09,2025-02-16T19:00:00Z,Karmine Corp,Team Vitality,1
LOLTMNT05_112538,113476054450558931,lec_winter_2025,2025-02-16 19:59:43,2025-02-16T19:00:00Z,Team Vitality,Karmine Corp,2
LOLTMNT05_111721,113476054450558934,lec_winter_2025,2025-02-17 17:17:33,2025-02-17T17:00:00Z,Fnatic,G2 Esports,1
LOLTMNT05_111732,113476054450558935,lec_winter_2025,2025-02-17 18:23:54,2025-02-17T17:00:00Z,Fnatic,G2 Esports,2
LOLTMNT05_111735,113476054450558938,lec_winter_2025,2025-02-17 19:18:39,2025-02-17T19:00:00Z,Karmine Corp,Movistar KOI,1
LOLTMNT05_111750,113476054450558939,lec_winter_2025,2025-02-17 20:07:22,2025-02-17T19:00:00Z,Movistar KOI,Karmine Corp,2
LOLTMNT05_114249,113476054450558946,lec_winter_2025,2025-02-22 17:08:34,2025-02-22T17:00:00Z,Team Vitality,Team BDS,1
LOLTMNT05_114254,113945076264491210,lec_winter_2025,2025-02-22 17:59:12,2025-02-22T17:00:00Z,Team Vitality,Team BDS,2
LOLTMNT05_113282,113945076264687819,lec_winter_2025,2025-02-22 18:56:49,2025-02-22T17:00:00Z,Team BDS,Team Vitality,3
LOLTMNT05_114277,113476054450558942,lec_winter_2025,2025-02-22 20:05:16,2025-02-22T19:00:00Z,GiantX,Team Heretics,1
LOLTMNT05_113307,113476054450558943,lec_winter_2025,2025-02-22 20:53:51,2025-02-22T19:00:00Z,Team Heretics,GiantX,2
LOLTMNT05_113309,113476054450558944,lec_winter_2025,2025-02-22 21:47:15,2025-02-22T19:00:00Z,GiantX,Team Heretics,3
LOLTMNT05_113346,113476054450624494,lec_winter_2025,2025-02-23 17:08:40,2025-02-23T17:00:00Z,Fnatic,Team BDS,1
LOLTMNT05_114349,113476054450624495,lec_winter_2025,2025-02-23 18:14:59,2025-02-23T17:00:00Z,Team BDS,Fnatic,2
LOLTMNT05_113358,113476054450624496,lec_winter_2025,2025-02-23 19:05:40,2025-02-23T17:00:00Z,Fnatic,Team BDS,3
LOLTMNT05_114381,113476054450558954,lec_winter_2025,2025-02-23 20:14:40,2025-02-23T19:00:00Z,Movistar KOI,GiantX,1
LOLTMNT05_114389,113476054450558955,lec_winter_2025,2025-02-23 21:10:17,2025-02-23T19:00:00Z,GiantX,Movistar KOI,2
LOLTMNT05_113387,113476054450558948,lec_winter_2025,2025-02-24 17:11:24,2025-02-24T17:00:00Z,Karmine Corp,G2 Esports,1
LOLTMNT05_113388,113476054450558949,lec_winter_2025,2025-02-24 17:59:06,2025-02-24T17:00:00Z,Karmine Corp,G2 Esports,2
LOLTMNT05_114409,113476054450558950,lec_winter_2025,2025-02-24 18:47:56,2025-02-24T17:00:00Z,G2 Esports,Karmine Corp,3
LOLTMNT05_114414,113476054450558951,lec_winter_2025,2025-02-24 19:43:32,2025-02-24T17:00:00Z,Karmine Corp,G2 Esports,4
LOLTMNT05_115018,113476054450624498,lec_winter_2025,2025-02-28 17:09:33,2025-02-28T17:00:00Z,Fnatic,Movistar KOI,1
LOLTMNT05_115019,113476054450624499,lec_winter_2025,2025-02-28 18:08:30,2025-02-28T17:00:00Z,Movistar KOI,Fnatic,2
LOLTMNT05_115021,113476054450624500,lec_winter_2025,2025-02-28 18:56:51,2025-02-28T17:00:00Z,Movistar KOI,Fnatic,3
LOLTMNT05_115027,113476054450624501,lec_winter_2025,2025-02-28 19:58:16,2025-02-28T17:00:00Z,Fnatic,Movistar KOI,4
LOLTMNT05_115043,113476054450624504,lec_winter_2025,2025-03-01 17:08:25,2025-03-01T17:00:00Z,Karmine Corp,Fnatic,1
LOLTMNT05_115044,113476054450624505,lec_winter_2025,2025-03-01 18:04:33,2025-03-01T17:00:00Z,Fnatic,Karmine Corp,2
LOLTMNT05_115046,113476054450624506,lec_winter_2025,2025-03-01 19:10:39,2025-03-01T17:00:00Z,Karmine Corp,Fnatic,3
LOLTMNT05_116037,113476054450624507,lec_winter_2025,2025-03-01 20:05:53,2025-03-01T17:00:00Z,Karmine Corp,Fnatic,4
LOLTMNT05_115052,113476054450624508,lec_winter_2025,2025-03-01 21:00:04,2025-03-01T17:00:00Z,Fnatic,Karmine Corp,5
LOLTMNT05_116057,113476054450624510,lec_winter_2025,2025-03-02 17:13:49,2025-03-02T17:00:00Z,G2 Esports,Karmine Corp,1
