gameid,date,game_num,blue,red,url
LOLTMNT02_212651,2025-02-12 08:11:06,1,KT Rolster,Nongshim RedForce,
LOLTMNT02_212665,2025-02-12 09:09:20,2,KT Rolster,Nongshim RedForce,
LOLTMNT02_213066,2025-02-12 10:03:18,3,KT Rolster,Nongshim RedForce,
LOLTMNT02_214006,2025-02-13 08:05:16,1,Hanwha Life Esports,T1,
LOLTMNT02_214014,2025-02-13 08:54:58,2,T1,Hanwha Life Esports,
LOLTMNT02_214018,2025-02-13 09:46:17,3,Hanwha Life Esports,T1,
LOLTMNT02_213440,2025-02-13 10:41:37,4,T1,Hanwha Life Esports,
LOLTMNT02_214059,2025-02-13 11:40:02,5,Hanwha Life Esports,T1,
LOLTMNT02_215947,2025-02-15 06:06:56,1,Dplus Kia,Nongshim RedForce,
LOLTMNT02_215958,2025-02-15 06:59:03,2,Nongshim RedForce,Dplus Kia,
LOLTMNT02_216864,2025-02-15 07:47:46,3,Nongshim RedForce,Dplus Kia,
LOLTMNT02_216888,2025-02-15 08:36:56,4,Dplus Kia,Nongshim RedForce,
LOLTMNT02_217358,2025-02-16 06:06:32,1,Gen.G,Hanwha Life Esports,
LOLTMNT02_217366,2025-02-16 07:06:00,2,Gen.G,Hanwha Life Esports,
LOLTMNT02_217372,2025-02-16 08:01:28,3,Hanwha Life Esports,Gen.G,
LOLTMNT02_217385,2025-02-16 08:51:09,4,Gen.G,Hanwha Life Esports,
LOLTMNT02_218314,2025-02-16 09:44:51,5,Hanwha Life Esports,Gen.G,
LOLTMNT02_222055,2025-02-19 08:06:35,1,Hanwha Life Esports,Dplus Kia,
LOLTMNT02_222064,2025-02-19 08:57:23,2,Dplus Kia,Hanwha Life Esports,
LOLTMNT02_222074,2025-02-19 09:57:34,3,Hanwha Life Esports,Dplus Kia,
LOLTMNT02_221094,2025-02-19 10:58:30,4,Hanwha Life Esports,Dplus Kia,
LOLTMNT02_221101,2025-02-19 11:52:23,5,Dplus Kia,Hanwha Life Esports,
LOLTMNT02_222394,2025-02-20 08:05:22,1,Nongshim RedForce,Gen.G,
LOLTMNT02_222398,2025-02-20 09:02:48,2,Nongshim RedForce,Gen.G,
LOLTMNT02_222411,2025-02-20 10:09:08,3,Nongshim RedForce,Gen.G,
LOLTMNT02_222421,2025-02-20 11:04:59,4,Gen.G,Nongshim RedForce,
LOLTMNT02_222433,2025-02-20 12:04:46,5,Gen.G,Nongshim RedForce,
LOLTMNT02_222826,2025-02-22 06:07:03,1,Dplus Kia,Gen.G,
LOLTMNT02_222827,2025-02-22 06:51:45,2,Dplus Kia,Gen.G,
LOLTMNT02_222830,2025-02-22 07:41:41,3,Dplus Kia,Gen.G,
LOLTMNT02_223033,2025-02-23 06:21:15,1,Hanwha Life Esports,Gen.G,
LOLTMNT02_223039,2025-02-23 07:16:10,2,Gen.G,Hanwha Life Esports,
LOLTMNT02_223046,2025-02-23 08:02:54,3,Hanwha Life Esports,Gen.G,
LOLTMNT02_223059,2025-02-23 08:55:52,4,Gen.G,Hanwha Life Esports,
LOLTMNT02_223070,2025-02-23 09:50:50,5,Hanwha Life Esports,Gen.G,
LOLTMNT02_242547,2025-04-02 08:11:26,1,Hanwha Life Esports,Gen.G,
LOLTMNT02_241560,2025-04-02 09:01:28,2,Hanwha Life Esports,Gen.G,
LOLTMNT02_242586,2025-04-02 10:17:09,1,DRX,DN SOOPers,
LOLTMNT02_241605,2025-04-02 11:16:50,2,DN SOOPers,DRX,
LOLTMNT02_241948,2025-04-03 08:09:21,1,Nongshim RedForce,HANJIN BRION,
LOLTMNT02_241955,2025-04-03 09:06:27,2,HANJIN BRION,Nongshim RedForce,
LOLTMNT02_241987,2025-04-03 10:26:24,1,BNK FEARX,Dplus Kia,
LOLTMNT02_243004,2025-04-03 11:16:53,2,BNK FEARX,Dplus Kia,
LOLTMNT02_242946,2025-04-03 12:04:23,3,Dplus Kia,BNK FEARX,
LOLTMNT02_243218,2025-04-04 08:09:26,1,Hanwha Life Esports,KT Rolster,
LOLTMNT02_243219,2025-04-04 09:07:00,2,KT Rolster,Hanwha Life Esports,
LOLTMNT02_244146,2025-04-04 10:04:22,3,Hanwha Life Esports,KT Rolster,
LOLTMNT02_244166,2025-04-04 11:22:00,1,DRX,T1,
LOLTMNT02_243267,2025-04-04 12:16:43,2,DRX,T1,
LOLTMNT02_244356,2025-04-05 06:08:15,1,HANJIN BRION,BNK FEARX,
LOLTMNT02_243459,2025-04-05 07:01:01,2,BNK FEARX,HANJIN BRION,
LOLTMNT02_244383,2025-04-05 07:55:21,3,HANJIN BRION,BNK FEARX,
LOLTMNT02_243506,2025-04-05 09:06:40,1,DN SOOPers,Nongshim RedForce,
LOLTMNT02_244407,2025-04-05 10:14:00,2,DN SOOPers,Nongshim RedForce,
LOLTMNT02_244630,2025-04-06 06:07:19,1,KT Rolster,Dplus Kia,
LOLTMNT02_243751,2025-04-06 07:07:17,2,KT Rolster,Dplus Kia,
LOLTMNT02_243783,2025-04-06 08:29:55,1,T1,Gen.G,
LOLTMNT02_244684,2025-04-06 09:29:58,2,Gen.G,T1,
LOLTMNT02_243791,2025-04-06 10:34:47,3,T1,Gen.G,
LOLTMNT03_218043,2025-04-09 08:10:53,1,DN SOOPers,Hanwha Life Esports,
LOLTMNT03_218051,2025-04-09 09:08:54,2,DN SOOPers,Hanwha Life Esports,
LOLTMNT03_217087,2025-04-09 10:05:44,3,Hanwha Life Esports,DN SOOPers,
LOLTMNT03_218101,2025-04-09 11:19:20,1,Dplus Kia,HANJIN BRION,
LOLTMNT03_218134,2025-04-09 12:10:40,2,HANJIN BRION,Dplus Kia,
LOLTMNT03_218624,2025-04-10 08:06:04,1,BNK FEARX,DRX,
LOLTMNT03_218633,2025-04-10 09:04:58,2,DRX,BNK FEARX,
LOLTMNT03_219187,2025-04-10 10:32:59,1,T1,KT Rolster,
LOLTMNT03_218683,2025-04-10 11:20:38,2,KT Rolster,T1,
LOLTMNT03_220261,2025-04-11 08:06:10,1,HANJIN BRION,DN SOOPers,
LOLTMNT03_219798,2025-04-11 08:59:22,2,HANJIN BRION,DN SOOPers,
LOLTMNT03_220286,2025-04-11 09:51:57,3,DN SOOPers,HANJIN BRION,
LOLTMNT03_219847,2025-04-11 11:07:09,1,Gen.G,Nongshim RedForce,
LOLTMNT03_220342,2025-04-11 11:58:52,2,Nongshim RedForce,Gen.G,
LOLTMNT03_221513,2025-04-12 06:07:11,1,Hanwha Life Esports,T1,
LOLTMNT03_221558,2025-04-12 07:00:01,2,T1,Hanwha Life Esports,
LOLTMNT03_222019,2025-04-12 08:29:02,1,KT Rolster,BNK FEARX,
LOLTMNT03_221610,2025-04-12 09:21:23,2,BNK FEARX,KT Rolster,
LOLTMNT03_221634,2025-04-12 10:12:46,3,KT Rolster,BNK FEARX,
LOLTMNT03_222610,2025-04-13 06:06:25,1,Dplus Kia,Gen.G,
LOLTMNT03_222628,2025-04-13 06:57:19,2,Gen.G,Dplus Kia,
LOLTMNT03_222659,2025-04-13 07:49:14,3,Dplus Kia,Gen.G,
LOLTMNT03_223223,2025-04-13 09:09:40,1,Nongshim RedForce,DRX,
LOLTMNT03_222719,2025-04-13 10:04:04,2,DRX,Nongshim RedForce,
LOLTMNT03_223254,2025-04-13 10:57:45,3,Nongshim RedForce,DRX,
LOLTMNT03_230058,2025-04-16 08:05:15,1,T1,Nongshim RedForce,
LOLTMNT03_229082,2025-04-16 09:00:40,2,Nongshim RedForce,T1,
LOLTMNT03_229092,2025-04-16 09:52:25,3,T1,Nongshim RedForce,
LOLTMNT03_229121,2025-04-16 11:13:00,1,BNK FEARX,Gen.G,
LOLTMNT03_229164,2025-04-16 12:09:37,2,Gen.G,BNK FEARX,
LOLTMNT03_229200,2025-04-16 13:02:35,3,BNK FEARX,Gen.G,
LOLTMNT03_230485,2025-04-17 08:06:06,1,DRX,Hanwha Life Esports,
LOLTMNT03_229500,2025-04-17 08:56:44,2,DRX,Hanwha Life Esports,
LOLTMNT03_230518,2025-04-17 10:11:54,1,HANJIN BRION,KT Rolster,
LOLTMNT03_229541,2025-04-17 11:17:08,2,HANJIN BRION,KT Rolster,
LOLTMNT03_230548,2025-04-17 12:08:37,3,KT Rolster,HANJIN BRION,
LOLTMNT03_229809,2025-04-18 08:05:29,1,BNK FEARX,T1,
LOLTMNT03_229822,2025-04-18 09:10:00,2,BNK FEARX,T1,
LOLTMNT03_230810,2025-04-18 10:05:30,3,T1,BNK FEARX,
LOLTMNT03_230842,2025-04-18 11:20:55,1,DN SOOPers,Dplus Kia,
LOLTMNT03_230854,2025-04-18 12:10:51,2,DN SOOPers,Dplus Kia,
LOLTMNT03_231043,2025-04-19 06:05:24,1,Gen.G,HANJIN BRION,
LOLTMNT03_232041,2025-04-19 07:01:15,2,HANJIN BRION,Gen.G,
LOLTMNT03_231086,2025-04-19 08:15:16,1,Nongshim RedForce,Hanwha Life Esports,
LOLTMNT03_232068,2025-04-19 09:02:12,2,Nongshim RedForce,Hanwha Life Esports,
LOLTMNT03_231270,2025-04-20 06:08:09,1,Dplus Kia,DRX,
LOLTMNT03_232248,2025-04-20 07:16:08,2,Dplus Kia,DRX,
LOLTMNT03_232256,2025-04-20 08:08:31,3,DRX,Dplus Kia,
LOLTMNT03_231299,2025-04-20 09:24:18,1,KT Rolster,DN SOOPers,
LOLTMNT03_231301,2025-04-20 10:31:53,2,DN SOOPers,KT Rolster,
LOLTMNT01_228752,2025-04-23 08:05:24,1,DRX,KT Rolster,
