gameid,date,game_num,blue,red,url
LOLTMNT06_111562,2025-04-10 19:28:40,1,Gentle Mates,Karmine Corp Blue,
LOLTMNT06_112120,2025-04-15 16:06:24,1,BK ROG Esports,Solary,
LOLTMNT06_112133,2025-04-15 17:21:02,1,Team BDS Academy,Joblife,
LOLTMNT06_112140,2025-04-15 18:12:14,1,Galions,Gentle Mates,
LOLTMNT06_113061,2025-04-15 19:10:19,1,Karmine Corp Blue,Vitality.Bee,
LOLTMNT06_113066,2025-04-15 20:05:54,1,Ici Japon Corp. Esport,GameWard,
LOLTMNT06_115035,2025-04-16 16:07:17,1,GameWard,Joblife,
LOLTMNT06_114057,2025-04-16 17:03:56,1,Ici Japon Corp. Esport,Solary,
LOLTMNT06_115094,2025-04-16 18:19:54,1,Team BDS Academy,Karmine Corp Blue,
LOLTMNT06_115107,2025-04-16 19:24:25,1,Galions,Vitality.Bee,
LOLTMNT06_115115,2025-04-16 20:19:44,1,BK ROG Esports,Gentle Mates,
LOLTMNT06_114127,2025-04-17 16:05:26,1,GameWard,Solary,
LOLTMNT06_115168,2025-04-17 16:59:13,1,Ici Japon Corp. Esport,Gentle Mates,
LOLTMNT06_115177,2025-04-17 18:00:44,1,Galions,Team BDS Academy,
LOLTMNT06_115188,2025-04-17 18:58:01,1,Joblife,Karmine Corp Blue,
LOLTMNT06_115193,2025-04-17 19:56:37,1,BK ROG Esports,Vitality.Bee,
LOLTMNT06_115252,2025-04-18 16:05:50,1,Galions,Joblife,
LOLTMNT06_114236,2025-04-18 17:04:19,1,Ici Japon Corp. Esport,Vitality.Bee,
LOLTMNT06_115274,2025-04-18 18:00:35,1,Karmine Corp Blue,GameWard,
LOLTMNT06_115278,2025-04-18 18:54:52,1,Gentle Mates,Solary,
LOLTMNT06_115292,2025-04-18 19:56:20,1,BK ROG Esports,Team BDS Academy,
LOLTMNT04_106246,2025-04-23 16:09:49,1,Vitality.Bee,Solary,
LOLTMNT04_106262,2025-04-23 17:10:45,1,Gentle Mates,GameWard,
LOLTMNT04_107326,2025-04-23 18:16:15,1,Galions,Karmine Corp Blue,
LOLTMNT04_107336,2025-04-23 19:14:14,1,BK ROG Esports,Joblife,
LOLTMNT04_107341,2025-04-23 20:18:28,1,Ici Japon Corp. Esport,Team BDS Academy,
LOLTMNT04_108019,2025-04-24 16:09:49,1,Galions,GameWard,
LOLTMNT04_106398,2025-04-24 17:04:33,1,Vitality.Bee,Gentle Mates,
LOLTMNT04_106407,2025-04-24 18:02:15,1,Karmine Corp Blue,BK ROG Esports,
LOLTMNT04_108041,2025-04-24 19:12:34,1,Ici Japon Corp. Esport,Joblife,
LOLTMNT04_106426,2025-04-24 20:14:07,1,Team BDS Academy,Solary,
LOLTMNT04_108261,2025-04-25 16:05:42,1,Vitality.Bee,GameWard,
LOLTMNT04_108278,2025-04-25 16:55:32,1,Galions,BK ROG Esports,
LOLTMNT04_106705,2025-04-25 18:06:58,1,Joblife,Solary,
LOLTMNT04_106742,2025-04-25 19:02:54,1,Karmine Corp Blue,Ici Japon Corp. Esport,
LOLTMNT04_108308,2025-04-25 19:57:44,1,Gentle Mates,Team BDS Academy,
LOLTMNT04_108355,2025-04-26 14:07:10,1,Galions,Gentle Mates,
LOLTMNT04_108360,2025-04-26 14:53:28,1,Gentle Mates,Karmine Corp Blue,
LOLTMNT04_108363,2025-04-26 15:57:42,1,Karmine Corp Blue,Galions,
LOLTMNT04_108898,2025-04-30 16:08:54,1,BK ROG Esports,Galions,
LOLTMNT04_108923,2025-04-30 17:09:49,2,Galions,BK ROG Esports,
LOLTMNT04_108937,2025-04-30 18:01:08,3,BK ROG Esports,Galions,
LOLTMNT04_109367,2025-04-30 18:57:06,1,Gentle Mates,Solary,
LOLTMNT04_108953,2025-04-30 19:53:15,2,Gentle Mates,Solary,
LOLTMNT04_109376,2025-04-30 20:50:50,3,Gentle Mates,Solary,
LOLTMNT04_109477,2025-05-01 16:08:52,1,Ici Japon Corp. Esport,Joblife,
LOLTMNT04_109487,2025-05-01 16:58:04,2,Joblife,Ici Japon Corp. Esport,
LOLTMNT04_110103,2025-05-01 17:55:49,1,Vitality.Bee,Karmine Corp Blue,
LOLTMNT04_110105,2025-05-01 18:48:10,2,Vitality.Bee,Karmine Corp Blue,
LOLTMNT04_109511,2025-05-01 19:40:30,3,Karmine Corp Blue,Vitality.Bee,
LOLTMNT05_131366,2025-05-07 16:07:02,1,Ici Japon Corp. Esport,Gentle Mates,
LOLTMNT05_130381,2025-05-07 17:13:45,2,Gentle Mates,Ici Japon Corp. Esport,
LOLTMNT05_131383,2025-05-07 18:17:28,3,Ici Japon Corp. Esport,Gentle Mates,
LOLTMNT05_130394,2025-05-07 19:31:50,1,Galions,Karmine Corp Blue,
LOLTMNT05_130397,2025-05-07 20:23:03,2,Galions,Karmine Corp Blue,
LOLTMNT05_131400,2025-05-07 21:17:03,3,Galions,Karmine Corp Blue,
LOLTMNT05_131490,2025-05-08 16:06:39,1,BK ROG Esports,Joblife,
LOLTMNT05_130515,2025-05-08 17:04:18,2,BK ROG Esports,Joblife,
LOLTMNT05_131518,2025-05-08 18:20:35,1,Vitality.Bee,Solary,
LOLTMNT05_130529,2025-05-08 19:12:26,2,Solary,Vitality.Bee,
LOLTMNT05_131521,2025-05-08 20:02:54,3,Vitality.Bee,Solary,
LOLTMNT05_130575,2025-05-09 16:05:49,1,BK ROG Esports,Galions,
LOLTMNT05_130584,2025-05-09 17:03:20,2,BK ROG Esports,Galions,
LOLTMNT05_131602,2025-05-09 17:58:54,1,Ici Japon Corp. Esport,Vitality.Bee,
LOLTMNT05_130594,2025-05-09 19:04:04,2,Vitality.Bee,Ici Japon Corp. Esport,
LOLTMNT05_131908,2025-05-14 16:07:53,1,Solary,Team BDS Academy,
LOLTMNT05_130909,2025-05-14 17:00:29,2,Team BDS Academy,Solary,
LOLTMNT05_131930,2025-05-14 18:06:54,1,GameWard,Joblife,
LOLTMNT05_130926,2025-05-14 19:01:22,2,GameWard,Joblife,
